Maximum Road Operating Speed (km/h),-0.1,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
0-10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11-20,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24
21-30,48,48,47,47,47,46,46,46,45,45,45,45,45,44,44,44,44,44,44,43,43
31-40,76,75,74,74,73,73,72,71,71,70,70,70,69,69,68,68,68,67,67,67,67
41-50,121,120,118,117,116,115,114,113,112,111,110,109,108,108,107,106,106,105,105,104,104
51-60,149,146,144,142,140,138,136,134,133,131,130,129,128,126,125,124,123,122,122,121,120
61-70,210,205,202,198,195,192,189,187,184,182,180,178,176,175,173,171,170,169,167,166,165
71-80,252,246,241,236,231,227,223,219,216,213,210,207,205,202,200,198,196,194,192,191,189
81-90,318,311,304,297,292,286,281,277,273,269,265,262,258,255,252,250,247,245,243,240,238
91-100,401,391,382,373,365,358,352,346,340,335,330,325,321,317,314,310,307,304,301,298,295
101-110,455,441,428,417,406,397,388,380,373,366,360,354,349,344,339,334,330,326,322,319,315
