"time_Tssd, Tstopped
(seconds)",Up to 10,11,12,13,14,15,16,17,18,19,20,20+ (add for each additional second)
Manual Protection,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
STOP & Proceed,98,98,98,98,98,98,98,98,98,98,98,0
1-10,148,164,180,197,213,230,236,249,262,279,295,16
11-20,295,328,361,394,410,443,476,508,541,558,590,33
21-30,443,492,541,574,623,672,705,754,804,836,886,49
31-40,590,656,722,771,820,886,935,1000,1066,1115,1181,66
41-50,738,820,886,951,1033,1099,1181,1246,1328,1394,1476,82
51-60,886,984,1066,1148,1246,1328,1410,1509,1591,1673,1771,98
61-70,1033,1148,1246,1361,1460,1542,1656,1755,1853,1952,2066,115
71-80,1181,1296,1427,1525,1656,1771,1902,2001,2132,2230,2362,131
81-90,1328,1460,1607,1755,1870,1984,2132,2247,2394,2509,2657,148
91-100,1476,1640,1771,1902,2066,2198,2345,2493,2640,2788,2936,164
